string, status, running, kill_reason, return_code
X86 run_exit vmlinux-4.4.186 boot-exit.img simple classic 2 init,Running,True,,0
X86_MESI_Two_Level run_exit vmlinux-4.4.186 boot-exit.img simple MESI_Two_Level 2 systemd,Finished,False,,0
X86_MESI_Two_Level run_exit vmlinux-4.4.186 boot-exit.img simple MESI_Two_Level 2 init,Finished,False,,0
X86_MI_example run_exit vmlinux-4.4.186 boot-exit.img simple MI_example 2 init,Finished,False,,0
X86_MI_example run_exit vmlinux-4.4.186 boot-exit.img simple MI_example 2 systemd,Finished,False,,0
X86_MI_example run_exit vmlinux-4.4.186 boot-exit.img simple MI_example 1 init,Finished,False,,0
X86_MI_example run_exit vmlinux-4.4.186 boot-exit.img simple MI_example 1 systemd,Finished,False,,0
X86_MOESI_CMP_directory run_exit vmlinux-4.4.186 boot-exit.img simple MOESI_CMP_directory 1 init,Finished,False,,0
X86_MOESI_CMP_directory run_exit vmlinux-4.4.186 boot-exit.img simple MOESI_CMP_directory 1 systemd,Running,True,,0
X86_MESI_Two_Level run_exit vmlinux-4.4.186 boot-exit.img simple MESI_Two_Level 1 systemd,Finished,False,,0
X86_MESI_Two_Level run_exit vmlinux-4.4.186 boot-exit.img simple MESI_Two_Level 1 init,Finished,False,,0
X86 run_exit vmlinux-4.4.186 boot-exit.img simple classic 1 systemd,Running,True,,0
X86 run_exit vmlinux-4.4.186 boot-exit.img simple classic 1 init,Finished,False,,0
X86 run_exit vmlinux-4.4.186 boot-exit.img atomic classic 2 systemd,Finished,False,,0
X86 run_exit vmlinux-4.4.186 boot-exit.img atomic classic 2 init,Finished,False,,0
X86 run_exit vmlinux-4.4.186 boot-exit.img atomic classic 8 init,Finished,False,,0
X86 run_exit vmlinux-4.4.186 boot-exit.img atomic classic 8 systemd,Running,True,,0
X86 run_exit vmlinux-4.4.186 boot-exit.img atomic classic 1 systemd,Finished,False,,0
X86 run_exit vmlinux-4.4.186 boot-exit.img atomic classic 1 init,Finished,False,,0
X86 run_exit vmlinux-4.4.186 boot-exit.img atomic classic 4 init,Finished,False,,0
X86 run_exit vmlinux-4.4.186 boot-exit.img atomic classic 4 systemd,Finished,False,,0
X86_MESI_Two_Level run_exit vmlinux-4.4.186 boot-exit.img kvm MESI_Two_Level 4 systemd,Running,True,,0
X86_MESI_Two_Level run_exit vmlinux-4.4.186 boot-exit.img kvm MESI_Two_Level 4 init,Finished,False,,0
